case,category,categoryBig,mistake,freq,interesting,falseValue
ветлікар,ветлікар,інше,FALSE,80,,80
в<span class="strike">зов</span>оду,взводу,інше,TRUE,2,yes,2007
взво<span class="strike">з</span>у,взводу,інше,TRUE,2,yes,2007
взво<span class="strike">в</span>ду,взводу,інше,TRUE,3,yes,2007
<span class="strike">зв</span>оду,взводу,інше,TRUE,12,yes,2007
в<span class="strike">зо</span>ду,взводу,інше,TRUE,22,,2007
взвод<span class="strike">а</span>,взводу,інше,TRUE,28,,2007
взвод,взводу,інше,FALSE,2007,,2007
відд<span class="strike">л</span>ілення,відділення,інше,TRUE,2,,88049
відд<span class="strike">е</span>лення,відділення,інше,TRUE,4,yes,88049
відді<span class="strike">д</span>ення,відділення,інше,TRUE,7,,88049
від<span class="strike">дл</span>ення,відділення,інше,TRUE,17,,88049
відді<span class="strike">р</span>у,відділу,інше,TRUE,2,yes,88049
в<span class="strike">а</span>дділу,відділу,інше,TRUE,3,,88049
відд<span class="strike">ш</span>лу,відділу,інше,TRUE,2,,88049
відділе<span class="strike">г</span>ння,відділення,інше,TRUE,2,,88049
відділе<span class="strike">нен</span>я,відділення,інше,TRUE,2,,88049
відді<span class="strike">лне</span>ння,відділення,інше,TRUE,2,,88049
відділенн<span class="strike">и</span>,відділення,інше,TRUE,2,,88049
відділенн<span class="strike">ь</span>я,відділення,інше,TRUE,2,,88049
відділ<span class="strike">к</span>ння,відділення,інше,TRUE,2,,88049
відділ<span class="strike">д</span>у,відділу,інше,TRUE,2,,88049
в<span class="strike">у</span>дділу,відділу,інше,TRUE,3,,88049
від<span class="strike">л</span>ілу,відділу,інше,TRUE,2,yes,88049
<span class="strike">ф</span>ідділу,відділу,інше,TRUE,2,yes,88049
<span class="strike">вв</span>дділу,відділу,інше,TRUE,2,,88049
відділ<span class="strike">і</span>у,відділу,інше,TRUE,2,,88049
від<span class="strike">л</span>ділу,відділу,інше,TRUE,2,,88049
відділ<<span class="strike">й</span>,відділу,інше,TRUE,2,,88049
в<span class="strike">а</span>ідділу,відділу,інше,TRUE,3,,88049
відд<span class="strike">в</span>лу,відділу,інше,TRUE,3,,88049
відділ<span class="strike">и</span>ння,відділення,інше,TRUE,8,,88049
відділеня<span class="strike">я</span>,відділення,інше,TRUE,4,,88049
від<span class="strike">і</span>ділу,відділу,інше,TRUE,4,,88049
відд<span class="strike">е</span>лу,відділу,інше,TRUE,5,yes,88049
відділе<span class="strike">нн</span>,відділу,інше,TRUE,6,,88049
відд<span class="strike">и</span>лу,відділу,інше,TRUE,9,yes,88049
ві<span class="strike">л</span>дділу,відділу,інше,TRUE,9,,88049
відді<span class="strike">і</span>лу,відділу,інше,TRUE,9,,88049
відді<span class="strike">д</span>лу,відділу,інше,TRUE,10,,88049
ві<span class="strike">і</span>дділу,відділу,інше,TRUE,10,,88049
відді<span class="strike">лн</span>ня,відділення,інше,TRUE,10,,88049
ві<span class="strike">і</span>ділу,відділу,інше,TRUE,11,,88049
ві<span class="strike">т</span>ділу,відділу,інше,TRUE,21,,88049
в<span class="strike">и</span>дділу,відділу,інше,TRUE,17,yes,88049
відд<span class="strike">л</span>ілу,відділу,інше,TRUE,19,,88049
відд<span class="strike">іу</span>,відділу,інше,TRUE,24,,88049
<span class="strike">вв</span>і<span class="strike">д</span>ілу,відділу,інше,TRUE,26,yes,88049
відділ<span class="strike">а</span>,відділу,інше,TRUE,26,,88049
відд<span class="strike">у</span>лу,відділу,інше,TRUE,35,,88049
відді<span class="strike">лл</span>у,відділу,інше,TRUE,36,,88049
відділе<span class="strike">ннн</span>я,відділення,інше,TRUE,36,,88049
<span class="strike">вд</span>ділу,відділу,інше,TRUE,52,,88049
відді<span class="strike">д</span>у,відділу,інше,TRUE,46,,88049
ві<span class="strike">ддд</span>ілу,відділу,інше,TRUE,95,,88049
від<span class="strike">дл</span>у,відділу,інше,TRUE,143,,88049
ві<span class="strike">д</span>ілу,відділу,інше,TRUE,340,,88049
відділе<span class="strike">н</span>я,відділення,інше,TRUE,305,,88049
відділення,відділення,інше,FALSE,18091,,88049
відділ,відділу,інше,FALSE,88049,,88049
громадя<span class="strike">м</span>,громадян,інше,TRUE,2,,4895
г<span class="strike">о</span>ромадян,громадян,інше,TRUE,3,,4895
<span class="strike">го</span>мадян,громадян,інше,TRUE,3,yes,4895
гром<span class="strike">о</span>дян,громадян,інше,TRUE,30,yes,4895
громадян,громадян,інше,FALSE,4895,,4895
деп<span class="strike">а</span>тат,депутат,інше,TRUE,2,yes,9878
д<span class="strike">а</span>путат,депутат,інше,TRUE,2,yes,9878
деп<span class="strike">е</span>тат,депутат,інше,TRUE,2,yes,9878
де<span class="strike">р</span>утат,депутат,інше,TRUE,3,yes,9878
д<span class="strike">и</span>путат,депутат,інше,TRUE,5,yes,9878
депу<span class="strike">п</span>ат,депутат,інше,TRUE,6,yes,9878
д<span class="strike">у</span>путат,депутат,інше,TRUE,7,yes,9878
де<span class="strike">т</span>утат,депутат,інше,TRUE,7,yes,9878
депут<span class="strike">а</span>,депутат,інше,TRUE,8,,9878
депут<span class="strike">у</span>т,депутат,інше,TRUE,16,yes,9878
депутат,депутат,інше,FALSE,9878,,9878
д<span class="strike">і</span>візіону,дивізіону,інше,TRUE,2,,118
дивізіон<span class="strike">а</span>,дивізіону,інше,TRUE,2,,118
д<span class="strike">е</span>візіону,дивізіону,інше,TRUE,3,,118
дивізіону,дивізіону,інше,FALSE,118,,118
директ<span class="strike">о</span>,директор,інше,TRUE,2,yes,4815
дирек<span class="strike">тр</span>,директор,інше,TRUE,2,,4815
дире<span class="strike">ко</span>ра,директор,інше,TRUE,2,,4815
дирек<span class="strike">тр</span>а,директор,інше,TRUE,2,yes,4815
дир<span class="strike">ет</span>ора,директор,інше,TRUE,3,,4815
д<span class="strike">і</span>ректор,директор,інше,TRUE,6,,4815
д<span class="strike">е</span>ректор,директор,інше,TRUE,13,yes,4815
директор,директор,інше,FALSE,4815,,4815
диспетче<span class="strike">т</span>ської,диспетчер,інше,TRUE,1,,1175
<span class="strike">є</span>нергодиспетчер,диспетчер,інше,TRUE,1,,1175
диспе<span class="strike">р</span>чер,диспетчер,інше,TRUE,2,,1175
д<span class="strike">е</span>спетчер,диспетчер,інше,TRUE,2,yes,1175
диспе<span class="strike">те</span>р,диспетчер,інше,TRUE,3,,1175
диспетч<span class="strike">и</span>р,диспетчер,інше,TRUE,3,yes,1175
диспетчер<span class="strike">ск</span>ого,диспетчер,інше,TRUE,4,,1175
диспетчер<span class="strike">ск</span>ої,диспетчер,інше,TRUE,5,,1175
д<span class="strike">і</span>спетчер,диспетчер,інше,TRUE,19,yes,1175
дисп<span class="strike">еч</span>ер,диспетчер,інше,TRUE,53,yes,1175
диспетчер,диспетчер,інше,FALSE,1175,,1175
економ<span class="strike">и</span>ст,економіст,інше,TRUE,4,yes,1459
<span class="strike">є</span>кономіст,економіст,інше,TRUE,10,yes,1459
економіст,економіст,інше,FALSE,1459,,1459
електромехані<span class="strike">й</span>,електромеханік,інше,TRUE,2,,470
<span class="strike">з</span>лектромеханік,електромеханік,інше,TRUE,2,,470
е<span class="strike">д</span>ектромеханік,електромеханік,інше,TRUE,2,,470
електро<span class="strike">мх</span>анік,електромеханік,інше,TRUE,2,,470
електром<span class="strike">и</span>ханік,електромеханік,інше,TRUE,2,yes,470
електромехан<span class="strike">ї</span>к,електромеханік,інше,TRUE,2,,470
електромех<span class="strike">е</span>нік,електромеханік,інше,TRUE,2,yes,470
електром<span class="strike">і</span>ханік,електромеханік,інше,TRUE,4,yes,470
елек<span class="strike">то</span>механік,електромеханік,інше,TRUE,4,,470
е<span class="strike">лк</span>тромеханік,електромеханік,інше,TRUE,4,,470
електромеха<span class="strike">нн</span>ік,електромеханік,інше,TRUE,6,,470
ел<span class="strike">ет</span>ромеханік,електромеханік,інше,TRUE,6,,470
еле<span class="strike">кр</span>омеханік,електромеханік,інше,TRUE,8,,470
<span class="strike">є</span>лектромеханік,електромеханік,інше,TRUE,14,,470
електромехан<span class="strike">и</span>к,електромеханік,інше,TRUE,22,,470
електромеханік,електромеханік,інше,FALSE,470,,470
<span class="strike">з'</span>язку,зв'язку,апостроф,TRUE,2,,2066
зв<span class="strike">ь</span>язку,зв'язку,апостроф,TRUE,2,,2066
зв'<span class="strike">як</span>у,зв'язку,апостроф,TRUE,5,,2066
з<span class="strike">в'з</span>ку,зв'язку,апостроф,TRUE,11,,2066
з<span class="strike">в*я</span>зку,зв'язку,апостроф,TRUE,19,,2066
"з<span class='strike'>в""я</span>зку",зв'язку,апостроф,TRUE,126,,2066
з<span class="strike">вя</span>зку,зв'язку,апостроф,TRUE,459,,2066
зв'язку,зв'язку,апостроф,FALSE,2066,,2066
здоров<span class="strike">ь</span>'я,здоров'я,апостроф,TRUE,2,,399
здоро<span class="strike">'я</span>,здоров'я,апостроф,TRUE,2,,399
здоров<span class="strike">ь</span>я,здоров'я,апостроф,TRUE,3,,399
здоров<span class="strike">*</span>я,здоров'я,апостроф,TRUE,6,,399
"здоро<span class='strike'>в""я</span>",здоров'я,апостроф,TRUE,53,,399
здоро<span class="strike">вя</span>,здоров'я,апостроф,TRUE,59,,399
здоров'я,здоров'я,апостроф,FALSE,399,,399
<span class="strike">ї</span>нженер,інженер,інше,TRUE,2,,3812
інже<span class="strike">нр</span>,інженер,інше,TUE,3,,3812
ін<span class="strike">х</span>енер,інженер,інше,TRUE,2,,3812
ін<span class="strike">д</span>женер,інженер,інше,TRUE,2,,3812
<span class="strike">іі</span>нженер,інженер,інше,TRUE,3,,3812
ін<span class="strike">е</span>женер,інженер,інше,TRUE,3,,3812
інжене<span class="strike">н</span>р,інженер,інше,TRUE,3,,3812
ін<span class="strike">жн</span>ер,інженер,інше,TRUE,4,,3812
<span class="strike">іж</span>енер,інженер,інше,TRUE,8,,3812
інж<span class="strike">і</span>нер,інженер,інше,TRUE,6,yes,3812
<span class="strike">и</span>нженер,інженер,інше,TRUE,48,yes,3812
інж<span class="strike">и</span>нер,інженер,інше,TRUE,50,yes,3812
інженер,інженер,інше,FALSE,3812,,3812
інспе<span class="strike">л</span>тор,інспектор,інше,TRUE,2,,21651
і<span class="strike">сн</span>спектор,інспектор,інше,TRUE,2,,21651
інспек<span class="strike">п</span>ор,інспектор,інше,TRUE,2,yes,21651
інспекто<span class="strike">а</span>,інспектор,інше,TRUE,2,,21651
<span class="strike">и</span>нспектора,інспектор,інше,TRUE,2,,21651
інспек<span class="strike">тт</span>ор,інспектор,інше,TRUE,2,,21651
ін<span class="strike">сс</span>пектор,інспектор,інше,TRUE,2,,21651
ін<span class="strike">и</span>спектор,інспектор,інше,TRUE,2,,21651
інспек<span class="strike">и</span>ор,інспектор,інше,TRUE,2,,21651
і<span class="strike">нн</span>спектор,інспектор,інше,TRUE,2,,21651
ін<span class="strike">ч</span>пектор,інспектор,інше,TRUE,2,yes,21651
і<span class="strike">е</span>спектор,інспектор,інше,TRUE,3,,21651
інспек<span class="strike">р</span>тор,інспектор,інше,TRUE,3,,21651
інспе<span class="strike">н</span>ктор,інспектор,інше,TRUE,3,,21651
інспекто<span class="strike">в</span>,інспектор,інше,TRUE,3,,21651
ін<span class="strike">м</span>пектор,інспектор,інше,TRUE,3,,21651
ін<span class="strike">ст</span>ектор,інспектор,інше,TRUE,3,yes,21651
і<span class="strike">р</span>спектор,інспектор,інше,TRUE,3,,21651
інспект<span class="strike">о</span>ор,інспектор,інше,TRUE,3,,21651
інсп<span class="strike">а</span>ктор,інспектор,інше,TRUE,3,yes,21651
інспектор<span class="strike">з</span>,інспектор,інше,TRUE,3,,21651
інспект<span class="strike">р</span>ор,інспектор,інше,TRUE,5,,21651
<span class="strike">іі</span>нспектор,інспектор,інше,TRUE,4,,21651
інс<span class="strike">пп</span>ектор,інспектор,інше,TRUE,4,,21651
інспектор<span class="strike">о</span>,інспектор,інше,TRUE,4,yes,21651
інспе<span class="strike">р</span>тор,інспектор,інше,TRUE,6,yes,21651
інс<span class="strike">р</span>ектор,інспектор,інше,TRUE,7,,21651
інс<span class="strike">т</span>пектор,інспектор,інше,TRUE,8,,21651
інспект<span class="strike">ро</span>,інспектор,інше,TRUE,7,yes,21651
інспе<span class="strike">р</span>ктор,інспектор,інше,TRUE,8,,21651
<span class="strike">ї</span>нспектор,інспектор,інше,TRUE,11,,21651
інспек<span class="strike">тр</span>,інспектор,інше,TRUE,16,yes,21651
<span class="strike">н</span>спектор,інспектор,інше,TRUE,17,,21651
інс<span class="strike">пк</span>тор,інспектор,інше,TRUE,20,,21651
ін<span class="strike">се</span>ктор,інспектор,інше,TRUE,28,yes,21651
інспект<span class="strike">о</span>,інспектор,інше,TRUE,29,yes,21651
інспе<span class="strike">ко</span>р,інспектор,інше,TRUE,35,yes,21651
інсп<span class="strike">ет</span>ор,інспектор,інше,TRUE,48,,21651
і<span class="strike">нп</span>ектор,інспектор,інше,TRUE,63,yes,21651
<span class="strike">іс</span>пектор,інспектор,інше,TRUE,85,,21651
<span class="strike">и</span>нспектор,інспектор,інше,TRUE,131,,21651
інспектор,інспектор,інше,FALSE,21651,,21651
кома<span class="strike">ни</span>ра,командир,інше,TRUE,2,,3097
ко<span class="strike">мн</span>дира,командир,інше,TRUE,2,,3097
ко<span class="strike">и</span>андира,командир,інше,TRUE,2,,3097
команд<span class="strike">ии</span>р,командир,інше,TRUE,2,,3097
команд<span class="strike">а</span>р,командир,інше,TRUE,2,,3097
ком<span class="strike">о</span>ндир,командир,інше,TRUE,4,yes,3097
ко<span class="strike">мн</span>дир,командир,інше,TRUE,4,,3097
к<span class="strike">а</span>мандир,командир,інше,TRUE,6,yes,3097
ком<span class="strike">ад</span>ир,командир,інше,TRUE,9,,3097
команд<span class="strike">і</span>р,командир,інше,TRUE,8,,3097
командир,командир,інше,FALSE,3097,,3097
комп'ют<span class="strike">о</span>рних,комп'ютер,апостроф,TRUE,2,,385
комп<span class="strike">ь</span>'ютерної,комп'ютер,апостроф,TRUE,2,,385
комп'ютер<span class="strike">і</span>зації,комп'ютер,апостроф,TRUE,2,,385
ком<span class="strike">п*ю</span>терного,комп'ютер,апостроф,TRUE,3,,385
ко<span class="strike">м'ю</span>терного,комп'ютер,апостроф,TRUE,6,,385
комп<span class="strike">ь</span>ютерного,комп'ютер,апостроф,TRUE,16,,385
"ком<span class='strike'>п""ю</span>терного",комп'ютер,апостроф,TRUE,28,,385
ком<span class="strike">пю</span>терного,комп'ютер,апостроф,TRUE,41,,385
комп'ютерного,комп'ютер,апостроф,FALSE,385,,385
л<span class="strike">и</span>кар,лікар,інше,TRUE,2,,2581
лікар<span class="strike">ь</span>,лікар,інше,TRUE,14,,2581
ліка<span class="strike">р</span>,лікар,інше,FALSE,2581,,2581
майст<span class="strike">ре</span>,майстер,інше,TRUE,2,,4019
майстер<span class="strike">нь</span>,майстер,інше,TRUE,2,,4019
<span class="strike">и</span>айстер,майстер,інше,TRUE,2,,4019
майст<span class="strike">е</span>,майстер,інше,TRUE,3,,4019
ма<span class="strike">ї</span>стер,майстер,інше,TRUE,3,yes,4019
ма<span class="strike">и</span>стер,майстер,інше,TRUE,3,,4019
майст<span class="strike">є</span>р,майстер,інше,TRUE,5,yes,4019
майст<span class="strike">а</span>р,майстер,інше,TRUE,5,yes,4019
май<span class="strike">се</span>р,майстер,інше,TRUE,10,,4019
ма<span class="strike">йт</span>ер,майстер,інше,TRUE,17,yes,4019
майс<span class="strike">тр</span>,майстер,інше,TRUE,38,yes,4019
м<span class="strike">ас</span>тер,майстер,інше,TRUE,93,yes,4019
майстер,майстер,інше,FALSE,4019,,4019
<span class="strike">є</span>лектромеханик,механік,інше,TRUE,2,,1149
м<span class="strike">є</span>ханік,механік,інше,TRUE,2,yes,1149
механізова<span class="strike">нн</span>ого,механік,інше,TRUE,2,,1149
м<span class="strike">і</span>ханік,механік,інше,TRUE,3,yes,1149
механ<span class="strike">и</span>ка,механік,інше,TRUE,5,,1149
меха<span class="strike">нн</span>ік,механік,інше,TRUE,9,,1149
механ<span class="strike">и</span>к,механік,інше,TRUE,62,yes,1149
механік,механік,інше,FALSE,1149,,1149
о<span class="strike">бє</span>днання,об'єднання,апостроф,TRUE,2,,51
о<span class="strike">б*є</span>днаннями,об'єднання,апостроф,TRUE,2,,51
"о<span class='strike'>б""є</span>днаннями",об'єднання,апостроф,TRUE,6,,51
об'єдна<span class="strike">нн</span>ого,об'єднання,апостроф,TRUE,10,,51
об'єднання,об'єднання,апостроф,FALSE,51,,51
об'є<span class="strike">кі</span>в,об'єктів,апостроф,TRUE,2,,881
о<span class="strike">б'к</span>тів,об'єктів,апостроф,TRUE,2,,881
об'єк<span class="strike">тв</span>,об'єктів,апостроф,TRUE,2,,881
об'ектів,об'єктів,апостроф,TRUE,5,,881
обьєктів,об'єктів,апостроф,TRUE,6,,881
об*єктів,об'єктів,апостроф,TRUE,7,,881
"о<span class='strike'>б""є</span>ктів",об'єктів,апостроф,TRUE,59,,881
о<span class="strike">б</span>єктів,об'єктів,апостроф,TRUE,193,,881
об'єктів,об'єктів,апостроф,FALSE,881,,881
оперуповноваж<span class="strike">и</span>ний,оперуповноважений,інше,TRUE,2,,2261
оперуповн<span class="strike">е</span>оважений,оперуповноважений,інше,TRUE,2,,2261
оперупов<span class="strike">а</span>новажений,оперуповноважений,інше,TRUE,2,,2261
оперуповноважен<span class="strike">ия</span>,оперуповноважений,інше,TRUE,2,,2261
о<span class="strike">пр</span>уповноважений,оперуповноважений,інше,TRUE,2,,2261
опер<span class="strike">уо</span>вноважений,оперуповноважений,інше,TRUE,2,,2261
оперуповноважен<span class="strike">ии</span>й,оперуповноважений,інше,TRUE,2,,2261
оперуповнова<span class="strike">жж</span>ений,оперуповноважений,інше,TRUE,2,,2261
оп<span class="strike">р</span>еруповноважений,оперуповноважений,інше,TRUE,3,,2261
оперуповн<span class="strike">оа</span>жений,оперуповноважений,інше,TRUE,3,,2261
оперуповно<span class="strike">вж</span>ений,оперуповноважений,інше,TRUE,3,,2261
оперу<span class="strike">о</span>повноважений,оперуповноважений,інше,TRUE,3,,2261
оперуп<span class="strike">а</span>вноважений,оперуповноважений,інше,TRUE,3,,2261
опер<span class="strike">о</span>повноважений,оперуповноважений,інше,TRUE,3,,2261
оперуповноважен<span class="strike">і</span>й,оперуповноважений,інше,TRUE,3,,2261
оперуповн<span class="strike">а</span>важений,оперуповноважений,інше,TRUE,3,,2261
оперуповнова<span class="strike">д</span>ений,оперуповноважений,інше,TRUE,4,,2261
оперуповноваж<span class="strike">еи</span>й,оперуповноважений,інше,TRUE,5,,2261
оперупо<span class="strike">во</span>новажений,оперуповноважений,інше,TRUE,5,,2261
оперуповноваже<span class="strike">нй</span>,оперуповноважений,інше,TRUE,5,,2261
оп<span class="strike">еу</span>повноважений,оперуповноважений,інше,TRUE,6,,2261
оперуповнова<span class="strike">жн</span>ий,оперуповноважений,інше,TRUE,7,,2261
оперуп<span class="strike">он</span>оважений,оперуповноважений,інше,TRUE,15,,2261
опер<span class="strike">о</span>уповноважений,оперуповноважений,інше,TRUE,27,,2261
оперуповноваже<span class="strike">нн</span>ий,оперуповноважений,інше,TRUE,81,,2261
оперуповноважений,оперуповноважений,інше,FALSE,2261,,2261
о<span class="strike">фц</span>ер,офіцер,інше,TRUE,2,,2609
офіц<span class="strike">е</span>,офіцер,інше,TRUE,2,,2609
<span class="strike">оі</span>цер,офіцер,інше,TRUE,2,,2609
офіц<span class="strike">і</span>ер,офіцер,інше,TRUE,2,yes,2609
офіц<span class="strike">і</span>р,офіцер,інше,TRUE,3,yes,2609
о<span class="strike">фф</span>іцер,офіцер,інше,TRUE,4,,2609
оф<span class="strike">іе</span>р,офіцер,інше,TRUE,6,,2609
оф<span class="strike">и</span>цер,офіцер,інше,TRUE,22,,2609
офіцер,офіцер,інше,FALSE,2609,,2609
ре<span class="strike">єє</span>стратор,реєстратор,інше,TRUE,2,,1384
реє<span class="strike">ср</span>атор,реєстратор,інше,TRUE,2,,1384
реєстра<span class="strike">тра</span>ції,реєстратор,інше,TRUE,2,,1384
ре<span class="strike">єт</span>ратор,реєстратор,інше,TRUE,2,,1384
ре<span class="strike">е</span>стратор,реєстратор,інше,TRUE,3,,1384
реєс<span class="strike">та</span>тор,реєстратор,інше,TRUE,5,,1384
реєстратор,реєстратор,інше,FALSE,1384,,1384
се<span class="strike">кетар,секретар,інше,TRUE,2,yes,3065
секрета,секретар,інше,TRU</span>E,2,,3065
секр<span class="strike">к</span>таріату,секретар,інше,TRUE,2,,3065
се<span class="strike">р</span>кретар,секретар,інше,TRUE,3,,3065
секр<span class="strike">а</span>тар,секретар,інше,TRUE,4,yes,3065
секрет<span class="strike">е</span>р,секретар,інше,TRUE,4,,3065
секр<span class="strike">к</span>тар,секретар,інше,TRUE,4,,3065
секр<span class="strike">и</span>тар,секретар,інше,TRUE,6,,3065
секре<span class="strike">к</span>тар,секретар,інше,TRUE,6,,3065
с<span class="strike">ер</span>етар,секретар,інше,TRUE,7,,3065
секретар<span class="strike">ь</span>,секретар,інше,TRUE,22,,3065
секретар,секретар,інше,FALSE,3065,,3065
сі<span class="strike">мї</span>,сімʼї,апостроф,TRUE,1,,548
сім<span class="strike">ї</span>'ї,сімʼї,апостроф,TRUE,1,,548
сім<span class="strike">ь</span>ї,сімʼї,апостроф,TRUE,4,,548
сі<span class="strike">м*ї</span>,сімʼї,апостроф,TRUE,8,,548
"сі<span class'strike'>м""ї</span>",сімʼї,апостроф,TRUE,69,,548
сі<span class="strike">мї</span>,сімʼї,апостроф,TRUE,73,,548
сім'ї,сімʼї,апостроф,FALSE,548,,548
спе<span class="strike">н</span>ціаліст,спеціаліст,інше,TRUE,2,,42315
спе<span class="strike">п</span>ціаліст,спеціаліст,інше,TRUE,2,,42315
спеціаліс<span class="strike">ь</span>,спеціаліст,інше,TRUE,2,,42315
спеці<span class="strike">ц</span>аліст,спеціаліст,інше,TRUE,2,,42315
спеці<span class="strike">п</span>аліст,спеціаліст,інше,TRUE,2,yes,42315
спеціа<span class="strike">п</span>ліст,спеціаліст,інше,TRUE,2,,42315
спе<span class="strike">л</span>іаліст,спеціаліст,інше,TRUE,2,,42315
сп<span class="strike">к</span>ціаліст,спеціаліст,інше,TRUE,3,,42315
спеціалі<span class="strike">а</span>ст,спеціаліст,інше,TRUE,3,,42315
спеціал<span class="strike">іі</span>ст,спеціаліст,інше,TRUE,3,,42315
спеціал<span class="strike">в</span>ст,спеціаліст,інше,TRUE,4,,42315
с<span class="strike">ц</span>еціаліст,спеціаліст,інше,TRUE,4,,42315
с<span class="strike">пп</span>еціаліст,спеціаліст,інше,TRUE,4,,42315
с<span class="strike">пц</span>іаліст,спеціаліст,інше,TRUE,4,,42315
спе<span class="strike">с</span>іаліст,спеціаліст,інше,TRUE,4,yes,42315
спеці<span class="strike">в</span>ліст,спеціаліст,інше,TRUE,4,,42315
с<span class="strike">н</span>еціаліст,спеціаліст,інше,TRUE,4,,42315
сп<span class="strike">р</span>еціаліст,спеціаліст,інше,TRUE,6,,42315
спеці<span class="strike">о</span>ліст,спеціаліст,інше,TRUE,6,yes,42315
с<span class="strike">р</span>еціаліст,спеціаліст,інше,TRUE,7,yes,42315
спеціа<span class="strike">і</span>ліст,спеціаліст,інше,TRUE,7,,42315
сп<span class="strike">і</span>ціаліст,спеціаліст,інше,TRUE,8,yes,42315
<span class="strike">п</span>еціаліст,спеціаліст,інше,TRUE,8,,42315
спец<span class="strike">ііа</span>ліст,спеціаліст,інше,TRUE,8,,42315
спеціал<span class="strike">ь</span>ст,спеціаліст,інше,TRUE,8,,42315
спец<span class="strike">е</span>аліст,спеціаліст,інше,TRUE,9,yes,42315
сп<span class="strike">а</span>ціаліст,спеціаліст,інше,TRUE,11,yes,42315
спеці<span class="strike">аі</span>ст,спеціаліст,інше,TRUE,16,,42315
сп<span class="strike">еі</span>аліст,спеціаліст,інше,TRUE,19,,42315
спеціал<span class="strike">іт</span>,спеціаліст,інше,TRUE,20,,42315
спеціал<span class="strike">а</span>ст,спеціаліст,інше,TRUE,22,yes,42315
спец<span class="strike">іл</span>іст,спеціаліст,інше,TRUE,25,yes,42315
<span class="strike">се</span>ціаліст,спеціаліст,інше,TRUE,32,,42315
спец<span class="strike">и</span>аліст,спеціаліст,інше,TRUE,36,yes,42315
спеціа<span class="strike">лс</span>т,спеціаліст,інше,TRUE,36,,42315
спеціалі<span class="strike">с</span>,спеціаліст,інше,TRUE,46,,42315
спе<span class="strike">ца</span>ліст,спеціаліст,інше,TRUE,49,,42315
